"","key","value"
"172","wt",4.07
"173","wt",3.73
"174","wt",3.78
"175","wt",5.25
"176","wt",5.424
"177","wt",5.345
"178","wt",2.2
"179","wt",1.615
"180","wt",1.835
"181","wt",2.465
"182","wt",3.52
"183","wt",3.435
"184","wt",3.84
"185","wt",3.845
"186","wt",1.935
"187","wt",2.14
"188","wt",1.513
"189","wt",3.17
"190","wt",2.77
"191","wt",3.57
"192","wt",2.78
"193","qsec",16.46
"194","qsec",17.02
"195","qsec",18.61
"196","qsec",19.44
"197","qsec",17.02
"198","qsec",20.22
"199","qsec",15.84
"200","qsec",20
"201","qsec",22.9
"202","qsec",18.3
"203","qsec",18.9
"204","qsec",17.4
"205","qsec",17.6
"206","qsec",18
"207","qsec",17.98
"208","qsec",17.82
"209","qsec",17.42
"210","qsec",19.47
"211","qsec",18.52
"212","qsec",19.9
"213","qsec",20.01
"214","qsec",16.87
"215","qsec",17.3
"216","qsec",15.41
"217","qsec",17.05
"218","qsec",18.9
"219","qsec",16.7
"220","qsec",16.9
"221","qsec",14.5
"222","qsec",15.5
"223","qsec",14.6
"224","qsec",18.6
"225","vs",0
"226","vs",0
"227","vs",1
"228","vs",1
"229","vs",0
"230","vs",1
"231","vs",0
"232","vs",1
"233","vs",1
"234","vs",1
"235","vs",1
"236","vs",0
"237","vs",0
"238","vs",0
"239","vs",0
"240","vs",0
"241","vs",0
"242","vs",1
"243","vs",1
"244","vs",1
"245","vs",1
"246","vs",0
"247","vs",0
"248","vs",0
"249","vs",0
"250","vs",1
"251","vs",0
"252","vs",1
"253","vs",0
"254","vs",0
"255","vs",0
"256","vs",1
"257","am",1
"258","am",1
"259","am",1
"260","am",0
"261","am",0
"262","am",0
"263","am",0
"264","am",0
"265","am",0
"266","am",0
"267","am",0
"268","am",0
"269","am",0
"270","am",0
"271","am",0
"272","am",0
"273","am",0
"274","am",1
"275","am",1
"276","am",1
"277","am",0
"278","am",0
"279","am",0
"280","am",0
"281","am",0
"282","am",1
"283","am",1
"284","am",1
"285","am",1
"286","am",1
"287","am",1
"288","am",1
"289","gear",4
"290","gear",4
"291","gear",4
"292","gear",3
"293","gear",3
"294","gear",3
"295","gear",3
"296","gear",4
"297","gear",4
"298","gear",4
"299","gear",4
"300","gear",3
"301","gear",3
"302","gear",3
"303","gear",3
"304","gear",3
"305","gear",3
"306","gear",4
"307","gear",4
"308","gear",4
"309","gear",3
"310","gear",3
"311","gear",3
"312","gear",3
"313","gear",3
"314","gear",4
"315","gear",5
"316","gear",5
"317","gear",5
"318","gear",5
"319","gear",5
"320","gear",4
"321","carb",4
"322","carb",4
"323","carb",1
"324","carb",1
"325","carb",2
"326","carb",1
"327","carb",4
"328","carb",2
"329","carb",2
"330","carb",4
"331","carb",4
"332","carb",3
"333","carb",3
"334","carb",3
"335","carb",4
"336","carb",4
"337","carb",4
"338","carb",1
"339","carb",2
"340","carb",1
"341","carb",1
"342","carb",2
"343","carb",2
"344","carb",4
"345","carb",2
"346","carb",1
"347","carb",2
"348","carb",2
"349","carb",4
"350","carb",6
"351","carb",8
"352","carb",2
